;FECHA;TMAX;TMIN;HR;PP
0;1978-10-01;28.0;21.6;94.9;0.0
1;1978-10-02;28.2;21.4;96.8;0.0
2;1978-10-03;26.2;19.8;96.2;0.0
3;1978-10-04;27.0;21.0;96.2;0.0
4;1978-10-05;26.2;20.8;95.6;0.0
5;1978-10-06;33.0;21.0;93.2;65.0
6;1978-10-07;25.4;22.0;97.9;0.0
7;1978-10-08;33.6;22.0;92.3;0.0
8;1978-10-09;24.0;21.4;;0.0
9;1978-10-10;33.0;22.4;92.1;0.0
10;1978-10-11;31.4;22.4;89.3;0.0
11;1978-10-12;32.2;21.8;91.4;80.0
12;1978-10-13;29.0;23.0;95.3;100.0
13;1978-10-14;29.4;21.0;94.2;0.0
14;1978-10-15;33.0;22.0;90.1;0.0
15;1978-10-16;33.4;22.0;87.5;0.0
16;1978-10-17;26.4;21.8;93.5;0.0
17;1978-10-18;28.5;21.0;95.7;40.0
18;1978-10-19;31.2;22.2;91.7;0.0
19;1978-10-20;30.2;22.6;93.6;0.0
20;1978-10-21;34.0;22.0;90.7;0.0
21;1978-10-22;28.2;21.0;96.3;0.0
22;1978-10-23;29.0;22.0;94.3;0.0
23;1978-10-24;33.0;22.0;87.6;0.0
24;1978-10-25;32.2;22.0;93.3;0.0
25;1978-10-26;24.4;22.0;95.4;40.0
26;1978-10-27;31.4;21.0;91.7;0.0
27;1978-10-28;33.6;21.4;91.4;0.0
28;1978-10-29;31.0;22.2;91.7;0.0
29;1978-10-30;30.3;23.0;93.3;0.0
30;1978-10-31;29.3;20.0;94.4;0.0
31;1978-11-01;29.3;22.0;82.3;0.0
32;1978-11-02;28.3;23.0;79.7;0.0
33;1978-11-03;29.3;21.0;78.3;0.0
34;1978-11-04;25.4;20.1;87.5;0.0
35;1978-11-05;28.3;20.1;76.1;0.0
36;1978-11-06;25.1;20.0;89.3;125.0
37;1978-11-07;34.0;20.0;73.0;0.0
38;1978-11-08;35.0;22.3;78.7;0.0
39;1978-11-09;34.0;23.2;;0.0
40;1978-11-10;31.1;20.1;82.8;45.0
41;1978-11-11;35.0;21.0;79.8;0.0
42;1978-11-12;36.0;24.0;82.0;0.0
43;1978-11-13;27.0;23.0;83.3;0.0
44;1978-11-14;33.0;20.4;69.3;0.0
45;1978-11-15;35.0;22.2;77.6;0.0
46;1978-11-16;34.0;23.0;82.1;0.0
47;1978-11-17;32.2;24.4;79.3;0.0
48;1978-11-18;28.3;23.0;76.7;0.0
49;1978-11-19;33.0;24.0;83.9;0.0
50;1978-11-20;33.0;23.5;86.1;0.0
51;1978-11-21;32.1;22.2;78.1;30.0
52;1978-11-22;30.0;24.0;85.3;0.0
53;1978-11-23;32.1;23.0;83.5;0.0
54;1978-11-24;30.1;23.0;82.1;0.0
55;1978-11-25;31.0;23.0;82.5;0.0
56;1978-11-26;32.2;24.0;;30.0
57;1978-11-27;29.0;24.0;85.9;90.0
58;1978-11-28;31.0;23.0;86.2;80.0
59;1978-11-29;29.0;22.2;81.8;40.0
60;1978-11-30;30.0;22.4;84.9;0.0
61;1978-12-01;25.8;21.6;;22.0
62;1978-12-02;26.8;18.8;;0.0
63;1978-12-03;30.2;17.0;;0.0
64;1978-12-04;30.0;20.0;;19.0
65;1978-12-05;30.8;21.2;;0.0
66;1978-12-06;30.0;22.0;;0.0
67;1978-12-07;32.5;22.0;;0.0
68;1978-12-08;32.8;20.0;;8.0
69;1978-12-09;32.0;20.2;;3.0
70;1978-12-10;27.0;20.4;;0.0
71;1978-12-11;32.2;21.2;;0.0
72;1978-12-12;25.8;17.0;;12.0
73;1978-12-13;30.6;18.0;;4.0
74;1978-12-14;30.8;19.8;;10.0
75;1978-12-15;30.8;21.0;;0.0
76;1978-12-16;31.0;21.0;;0.0
77;1978-12-17;29.0;21.2;;25.0
78;1978-12-18;30.6;20.2;;0.0
79;1978-12-19;33.0;22.0;;0.0
80;1978-12-20;33.6;21.2;;0.0
81;1978-12-21;32.8;19.8;;0.0
82;1978-12-22;29.0;21.0;;0.0
83;1978-12-23;29.8;21.0;;36.0
84;1978-12-24;31.2;19.0;;0.0
85;1978-12-25;29.8;20.2;;44.0
86;1978-12-26;32.2;21.2;;0.0
87;1978-12-27;32.4;19.8;;16.0
88;1978-12-28;30.6;19.2;;0.0
89;1978-12-29;30.6;21.2;;10.0
90;1978-12-30;31.0;20.0;;9.0
91;1978-12-31;32.2;20.0;;0.0
92;1979-01-01;34.2;23.0;93.2;0.0
93;1979-01-02;29.6;22.6;95.2;0.0
94;1979-01-03;31.4;23.0;88.9;0.0
95;1979-01-04;31.8;24.2;90.9;0.0
96;1979-01-05;30.0;22.2;;0.0
97;1979-01-06;32.2;25.4;89.7;0.0
98;1979-01-07;31.6;24.2;90.5;1.2
99;1979-01-08;34.0;23.0;89.6;11.0
100;1979-01-09;35.2;22.4;88.2;17.8
101;1979-01-10;32.4;24.0;89.2;21.2
102;1979-01-11;32.0;24.0;89.4;8.6
103;1979-01-12;32.0;24.0;95.8;17.8
104;1979-01-13;32.8;24.0;91.0;14.0
105;1979-01-14;31.0;24.8;93.2;0.0
106;1979-01-15;28.0;21.0;;0.0
107;1979-01-16;29.2;23.0;;0.0
108;1979-01-17;33.0;23.9;;2.4
109;1979-01-18;35.2;23.2;;0.0
110;1979-01-19;32.0;23.4;;0.0
111;1979-01-20;30.0;23.4;;0.0
112;1979-01-21;32.4;23.8;;5.4
113;1979-01-22;26.0;23.0;;21.6
114;1979-01-23;32.0;23.2;91.0;14.0
115;1979-01-24;32.6;23.0;91.2;0.0
116;1979-01-25;31.2;23.0;;0.0
117;1979-01-26;32.8;23.6;93.3;0.0
118;1979-01-27;33.0;22.8;93.8;0.0
119;1979-01-28;33.8;24.0;87.9;0.0
120;1979-01-29;31.4;22.8;93.5;1.4
121;1979-01-30;30.6;23.4;94.4;17.6
122;1979-01-31;31.6;23.0;88.8;0.0
123;1979-02-01;30.4;23.0;87.8;0.0
124;1979-02-02;31.6;24.4;91.8;0.0
125;1979-02-03;32.1;24.0;94.4;0.0
126;1979-02-04;33.0;23.4;89.0;0.0
127;1979-02-05;32.4;;;0.0
128;1979-02-06;31.4;24.0;94.4;0.0
129;1979-02-07;31.2;23.8;92.3;0.0
130;1979-02-08;34.6;23.2;92.5;0.0
131;1979-02-09;34.8;23.4;90.3;0.0
132;1979-02-10;32.0;23.6;88.6;1.0
133;1979-02-11;31.6;24.0;88.7;31.6
134;1979-02-12;28.4;23.0;94.4;26.3
135;1979-02-13;31.2;23.4;;1.2
136;1979-02-14;33.0;22.8;90.9;1.0
137;1979-02-15;32.4;22.4;89.1;0.0
138;1979-02-16;29.2;22.8;;0.0
139;1979-02-17;31.0;24.4;93.0;0.9
140;1979-02-18;32.0;25.0;91.0;0.0
141;1979-02-19;32.6;23.4;89.3;0.0
142;1979-02-20;31.8;24.0;86.5;0.0
143;1979-02-21;32.0;23.6;87.0;0.0
144;1979-02-22;30.6;24.0;88.1;0.0
145;1979-02-23;32.0;24.4;89.4;0.0
146;1979-02-24;30.0;22.0;91.6;0.0
147;1979-02-25;30.6;22.8;89.9;20.0
148;1979-02-26;32.0;23.6;87.6;0.0
149;1979-02-27;33.2;24.0;88.2;0.0
150;1979-02-28;29.6;24.6;91.4;0.0
151;1979-03-01;28.2;23.4;90.5;0.0
152;1979-03-02;27.0;21.4;96.8;20.0
153;1979-03-03;28.0;22.0;95.3;0.0
154;1979-03-04;27.4;22.0;95.2;1.0
155;1979-03-05;28.0;21.2;93.7;20.6
156;1979-03-06;26.0;20.4;93.6;30.4
157;1979-03-07;28.4;21.2;91.7;6.0
158;1979-03-08;27.0;22.0;93.2;25.0
159;1979-03-09;28.2;20.4;95.2;30.7
160;1979-03-10;29.4;21.0;93.0;0.0
161;1979-03-11;28.4;21.2;89.8;30.5
162;1979-03-12;29.4;22.0;93.7;0.0
163;1979-03-13;31.0;21.2;94.9;0.0
164;1979-03-14;31.4;21.4;91.3;0.0
165;1979-03-15;30.4;23.0;91.1;0.0
166;1979-03-16;30.6;22.4;91.2;1.0
167;1979-03-17;31.4;21.6;92.9;0.0
168;1979-03-18;30.2;22.0;90.6;0.0
169;1979-03-19;31.4;21.8;90.1;0.0
170;1979-03-20;30.0;21.0;90.7;31.2
171;1979-03-21;34.0;22.2;90.4;0.0
172;1979-03-22;33.0;22.4;90.6;62.6
173;1979-03-23;34.0;24.0;91.9;0.0
174;1979-03-24;27.4;22.4;95.8;25.0
175;1979-03-25;30.0;23.0;93.9;0.0
176;1979-03-26;27.4;21.4;95.2;0.0
177;1979-03-27;30.6;21.0;94.2;0.0
178;1979-03-28;30.0;20.8;90.7;0.0
179;1979-03-29;31.4;21.8;90.9;0.0
180;1979-03-30;31.6;22.0;89.2;0.0
181;1979-03-31;31.4;20.4;92.6;30.0
182;1979-04-01;27.0;22.0;94.7;0.0
183;1979-04-02;28.4;21.4;93.3;0.0
184;1979-04-03;30.4;22.6;92.1;0.0
185;1979-04-04;31.2;23.4;86.8;0.0
186;1979-04-05;30.4;22.0;89.6;0.0
187;1979-04-06;31.6;19.8;89.1;0.0
188;1979-04-07;29.6;19.4;95.3;0.0
189;1979-04-08;27.8;19.0;94.7;0.0
190;1979-04-09;30.4;20.4;91.3;0.0
191;1979-04-10;27.0;19.6;95.1;30.0
192;1979-04-11;30.0;20.0;90.8;0.0
193;1979-04-12;29.2;19.6;91.6;0.0
194;1979-04-13;30.6;20.6;91.4;40.0
195;1979-04-14;26.4;18.4;96.2;0.0
196;1979-04-15;26.0;17.0;95.1;30.0
197;1979-04-16;30.0;20.0;90.3;0.0
198;1979-04-17;29.8;21.4;88.6;0.0
199;1979-04-18;29.0;20.6;92.6;0.0
200;1979-04-19;27.6;21.1;89.5;20.0
201;1979-04-20;27.0;20.4;86.2;0.0
202;1979-04-21;31.0;21.6;94.0;0.0
203;1979-04-22;30.6;21.6;89.5;0.0
204;1979-04-23;30.8;20.8;91.7;0.0
205;1979-04-24;31.4;19.4;92.0;0.0
206;1979-04-25;32.0;19.0;93.6;0.0
207;1979-04-26;30.0;21.0;92.5;40.0
208;1979-04-27;31.4;20.6;88.9;0.0
209;1979-04-28;31.6;21.6;90.7;0.0
210;1979-04-29;31.8;22.0;92.1;0.0
211;1979-04-30;30.6;21.4;93.3;0.0
212;1979-07-01;;;;0.0
213;1979-07-02;;;;0.0
214;1979-07-03;;;;29.0
215;1979-07-04;;;;4.0
216;1979-07-05;;;;3.0
217;1979-07-06;;;;0.0
218;1979-07-07;;;;0.0
219;1979-07-08;;;;0.0
220;1979-07-09;;;;3.0
221;1979-07-10;;;;0.0
222;1979-07-11;;;;0.0
223;1979-07-12;;;;0.0
224;1979-07-13;;;;0.0
225;1979-07-14;;;;0.0
226;1979-07-15;;;;6.0
227;1979-07-16;;;;59.0
228;1979-07-17;;;;3.0
229;1979-07-18;;;;6.0
230;1979-07-19;;;;42.0
231;1979-07-20;;;;67.0
232;1979-07-21;;;;2.0
233;1979-07-22;;;;2.0
234;1979-07-23;;;;9.0
235;1979-07-24;;;;0.0
236;1979-07-25;;;;2.0
237;1979-07-26;;;;2.0
238;1979-07-27;;;;0.0
239;1979-07-28;;;;0.0
240;1979-07-29;;;;0.0
241;1979-07-30;;;;0.0
242;1979-07-31;;;;9.0
243;1980-04-01;31.0;21.2;84.9;27.0
244;1980-04-02;29.6;20.0;87.7;0.0
245;1980-04-03;30.4;21.4;84.2;0.0
246;1980-04-04;31.2;21.2;85.3;10.0
247;1980-04-05;29.6;20.8;87.3;0.0
