LONGITUD,LATITUD,NOMBRE,CODIGO,CATEGORIA,ICO,ESTADO,COD_OLD,ALTITUD,FECHA_INICIO,FECHA_FIN
-79.15323,-7.22499,MONTE GRANDE,100090,CO,M,DIFERIDO,000396,431,201402,201907
-79.03696,-6.27366,QUEROCOTILLO,106067,PLU,M,DIFERIDO,153109,1970,201409,201908
-78.52437,-6.67411,PUENTE  MAYGASBAMBA,221110,HLG,H,DIFERIDO,220307,2551,201205,201906
-78.45694,-6.68778,QUEBRADA SHUGAR,100113,PLU,M,DIFERIDO,153108,3292,201402,201908
-78.73717,-6.67091,CHUGUR,106077,PLU,M,DIFERIDO,153208,002757,201405,201907
-78.89767,-5.67175,LA CASCARILLA,105062,CO,M,DIFERIDO,000349,1991,201403,201903
-79.09,-5.64389,CHONTALI,105065,CO,M,DIFERIDO,000250,001626,201404,201906
-78.85639,-5.94222,PUENTE CHUNCHUCA,105110,PLU,M,DIFERIDO,152213,589,201409,201908
-78.95028,-5.91694,CACAO,220405,HLM,H,DIFERIDO,220405,1252,201204,201906
-79.31722,-5.91778,EL LIMON,105057,CO,M,DIFERIDO,000241,1110,201405,201906
-79.13389,-6.04167,HACIENDA PUCARA,106065,PLU,M,DIFERIDO,153107,1061,201409,201908
-79.3125,-5.65889,SALLIQUE,105053,CO,M,DIFERIDO,002129,1804,201409,201908
-78.98861,-5.46639,COCHALAN,105111,PLU,M,DIFERIDO,152212,753,201409,201908
-78.98822,-5.46506,COCHALAN,220814,HLG,H,DIFERIDO,220815,753,201302,201906
-79.28779,-5.32221,TABACONAS,220812,HLG,H,DIFERIDO,220813,1787,201004,201809
-79.04045,-7.0802,LIVES,107055,PLU,M,DIFERIDO,153111,1931,201408,201907
-78.86722,-6.575,CHANCAY BAÑOS,106022,CO,M,DIFERIDO,000395,1677,201303,201903
-79.07395,-6.65579,CIRATO,106122,HLG,H,DIFERIDO,200909,964,201202,201906
-71.23187,-14.16997,SALCCA,114131,PE,M,DIFERIDO,114131,3956,201801,201905
-71.41694,-14.81694,YAURI,114032,CO,M,DIFERIDO,000757,3927,201405,201904
-71.72,-13.10855,CHACLLABAMBA,113139,CO,M,DIFERIDO,155518,2701,201303,201904
-71.46778,-13.02389,CHONTACHACA,100030,CO,M,DIFERIDO,006671,982,201406,201905
-75.23667,-12.53944,HUANCALPI,112142,CO,M,DIFERIDO,156126,3450,201301,201812
-75.53348,-13.2206,HUACHOS,113067,CO,M,DIFERIDO,151503,2744,201303,201805
-75.62758,-13.21198,SAN JUAN DE CASTROVIRREYNA,113082,CO,M,DIFERIDO,156114,1856,201301,201804
-75.07145,-13.1588,CHOCLOCOCHA,113091,CO,M,DIFERIDO,156130,4547,201303,201805
-74.56667,-12.46667,PAUCARBAMBA,112066,CO,M,DIFERIDO,000658,3000,201306,201901
-75.18698,-14.04061,CORDOVA,114065,PLU,M,DIFERIDO,157101,3225,201311,201810
-75.08596,-13.25932,TUNEL CERO,113016,CO,M,DIFERIDO,000647,4498,201302,201803
-75.29625,-13.50399,CUSICANCHA,113086,CO,M,DIFERIDO,156121,3253,201201,201901
-75.39056,-13.79194,CHALLACA PLU,100025,PLU,M,DIFERIDO,000009,1880,201310,201902
-75.38212,-13.79047,CHALLACA CO,113128,CO,M,DIFERIDO,006640,1800,201302,201804
-75.25083,-13.83308,SANTIAGO DE CHOCORVOS,113088,CO,M,DIFERIDO,156123,2700,201302,201901
-75.27418,-13.69163,TAMBO,113087,CO,M,DIFERIDO,156122,3138,201305,201804
-75.9425,-9.515,CHINCHAVITO,230003,HLM,H,DIFERIDO,230003,744,201412,201907
-76.08361,-9.66694,CARPISH,109020,CO,M,DIFERIDO,000454,1950,201408,201907
-76.15111,-9.84694,TARUCA,230002,HLM,H,DIFERIDO,230002,408,201705,201908
-76.02778,-9.32,PUENTE BELLA,230004,HLM,H,DIFERIDO,230004,663,201705,201908
-75.9825,-9.34694,PUENTE PEREZ,230001,HLM,H,DIFERIDO,230001,644,201401,201908
-75.67861,-13.92472,LOS MOLINOS,113244,PLU,M,DIFERIDO,113244,500,201404,201902
-75.97514,-13.43942,CONTA,203501,HLG,H,DIFERIDO,203501,324,201209,201710
-74.95,-14.63333,HUALLPOCA,114106,PLU,M,DIFERIDO,156225,1050,201309,201810
-71.80654,-15.60999,MADRIGAL,115092,CO,M,DIFERIDO,157317,3276,201409,201908
-71.11667,-15.81667,SUMBAY,204702,HLG,H,DIFERIDO,204702,4403,201409,201908
-71.21333,-15.97861,PILLONES,115126,CO,M,DIFERIDO,158208,4455,201408,201907
-71.45705,-15.48929,PUENTE COLGANTE-SIBAYO,204604,HLG,H,DIFERIDO,204604,3810,201409,201908
-71.31667,-15.35,PORPERA,115101,CO,M,DIFERIDO,157329,4195,201409,201908
-71.45,-15.35,TISCO,115098,CO,M,DIFERIDO,157325,4175,201409,201908
-72.91831,-15.54811,CHICHAS,115078,CO,M,DIFERIDO,157300,2170,201409,201908
-72.83333,-15.85,SALAMANCA,204501,HLM,H,DIFERIDO,204501,3200,201409,201908
-72.88278,-15.78306,YANAQUIHUA,115128,CO,M,DIFERIDO,000864,3130,201409,201908
-71.58861,-16.99917,LA HACIENDITA,117006,CO,M,DIFERIDO,000838,282,201409,201908
-72.92919,-15.21251,CUYAU,204506,HLM,H,DIFERIDO,204508,2222,201409,201908
-72.75278,-15.13583,PULLHUAY (AYAHUASI),115084,CO,M,DIFERIDO,157309,3455,201409,201908
-72.69228,-15.0605,PUICA,115082,CO,M,DIFERIDO,157307,3661,201409,201908
-74.33361,-13.91694,HUANCASANCOS,100055,CO,M,DIFERIDO,156218,3440,201302,201804
-74.24567,-12.94597,HUANTA,112068,CO,M,DIFERIDO,000660,2610,201210,201801
-73.95,-14.26667,HUASAPAMPA,230705,HLG,H,DIFERIDO,230705,2900,201107,201809
-74.92556,-14.24639,LLAUTA,114067,PLU,M,DIFERIDO,157200,2445,201312,201902
-74.23223,-14.62,LUCANAS,114072,PLU,M,DIFERIDO,157206,3354,201403,201902
-73.34786,-15.18468,LAMPA,115076,PLU,M,DIFERIDO,157223,2790,201311,201901
-73.72658,-13.88257,CHILCAYOC,113101,CO,M,DIFERIDO,156212,3400,201303,201810
-78.51012,-7.19345,AYLAMBO,107033,PE,M,DIFERIDO,000316,2894,201112,201908
-78.45947,-7.19119,LA VICTORIA,107035,PE,M,DIFERIDO,000318,2630,201409,201908
-78.74833,-6.55972,CHOTANO LAJAS,106084,PLU,M,DIFERIDO,153235,2163,201409,201908
-78.73377,-7.38332,CASCABAMBA,201301,HLM,H,DIFERIDO,201301,3331,201408,201907
-77.40025,-10.40457,OCROS,110051,PLU,M,DIFERIDO,155105,3249,201409,201908
-77.34389,-10.606,CAHUA,202404,HLG,H,DIFERIDO,202404,812,201409,201908
-77.40607,-9.85242,NUEVO PACHACOTO,109095,PLU,M,DIFERIDO,109095,3723,201501,201908
-78.28806,-5.16144,CHIRIACO,105104,CO,M,DIFERIDO,000229,323,201406,201906
-77.93928,-4.83039,SANTA MARIA DE NIEVA,104060,CO,M,DIFERIDO,000256,225,201404,201907
-78.52286,-5.7562,EL PINTOR,105040,PLU,M,DIFERIDO,152204,533,201409,201908
-78.18886,-5.89106,MAGUNCHAL,105046,PLU,M,DIFERIDO,152210,632,201409,201908
-78.18765,-5.89006,MAGUNCHAL,221506,HLG,H,DIFERIDO,221506,632,201303,201906
-78.47097,-6.00039,EL PALTO,106121,CO,M,DIFERIDO,003332,1467,201409,201908
-77.50963,-9.60776,SAN PEDRO,211404,HLM,H,DIFERIDO,201720,3170,201407,201906
-77.52486,-9.51653,SANTIAGO ANTUNEZ DE MAYOLO,109009,MAP,M,DIFERIDO,000426,3079,201402,201901
-77.77536,-9.53519,CHACCHAN,109045,PLU,M,DIFERIDO,154107,2266,201409,201908
-77.70719,-9.58528,PIRA,109048,PLU,M,DIFERIDO,154110,3625,201409,201908
-77.34889,-10.15775,MAYORARCA,110040,PLU,M,DIFERIDO,150903,3335,201409,201908
-78.20825,-9.43371,BUENA VISTA,109014,CO,M,DIFERIDO,000435,213,201409,201908
-72.57389,-13.56,CUNYAC,113136,PLU,M,DIFERIDO,156224,2345,201405,201904
-71.49511,-16.31086,CHARCANI,204710,HLG,H,DIFERIDO,204711,2643,201409,201908
-71.14806,-16.31778,LAS SALINAS,116046,CO,M,DIFERIDO,158209,4378,201405,201908
-71.1891,-16.15482,EL FRAYLE,116022,CO,M,DIFERIDO,000849,4131,201306,201907
-71.41481,-16.05542,PATAHUASI-AREQUIPA,116073,CO,M,DIFERIDO,116073,4035,201409,201908
-71.58889,-16.06306,PAMPA DE ARRIEROS,116043,CO,M,DIFERIDO,158204,3715,201409,201908
-72.27028,-15.67917,AYO,115088,CO,M,DIFERIDO,157313,1956,201409,201908
-72.26852,-15.50242,CHACHAS,115087,CO,M,DIFERIDO,157312,3071,201409,201908
